source,target
5f,maaf
7an,tujuan
abis,habis
abjat,abjad
ad,ada
adek,adik
adpokat,advokat
aduh,waduh
adzan,azan
afdol,afdal
agamawan,ahli agama
agan,juragan
agp,anggap
ahlak,akhlak
aing,saya
aj,saja
ajah,saja
ajakin,ajaki
ajib,bagus
ajib,baik
ajib,enak
ajk,ajak
ak,aku
aktifitas,aktivitas
aktip,aktif
alay,anak layangan
allah,Allah
alm,almarhum
almt,alamat
amandemen,amendemen
ambeyen,ambeien
ambulan,ambulans
amphibi,amfibi
amsyong,apes
amsyong,hancur
amsyong,rusak
amvun,ampun
analisa,analisis
ane,aku
anged,hangat
anget,hangat
anggep,anggap
anggurin,dianggurkan
anjay ,anjing kamu alay
anjir,buset
ank,anak
antene,antena
antri,antre
anugrah,anugerah
anying,anjing
ap,apa
apaa,apa
apah,apa
apain,apakan
apakh,apakah
apal,hafal
apalgi,apalagi
apaya,apa ya
apayaa,apa ya
aposeh,apasih
apotik,apotek
apus,hapus
aq,aku
aqu,aku
arahin,mengarahkan
asek,asyik
asem,sialan
asik,asyik
astronot,astronaut
asyek,asyik
asyekk,asyik
atheis,ateis
ati2,hati-hati
atlit,atlet
atmosfir,atmosfer
ato,atau
atw,atau
autis,autisme
awl,awal
ayang,sayang
ayank,sayang
ayanq,sayang
ayk,ayuk
ayok,ayo
ayuk,ayo
ayukz,ayo
azas,asas
babe,ayah
bacain,bacakan
badmood,suasana hati buruk
bag,bagian
balan,balans
bales,balas
balesin,balaskan
balikin,kembalian
balsem,balsam
bangeet,sangat
banget,sangat
bangett,sangat
bangit,sangat
bangsat,kutu busuk
bangunin,bangunkan
bantuin,bantu
banyakin,banyaki
banyakk,banyak
baper,bawa perasaan
batalyon,batalion
baterei,baterai
batre,baterai
batrenya,baterainya
bayangin,bayangkan
bbrapa,beberapa
bbrp,beberapa
bdan,badan
bebep,sayang
beberes,beres-beres
begimana,bagaimana
belago,songong
belagu,songong
beliin,belikan
belom,belum
benar2,benar-benar
bences,banci
bencong,banci
bener,benar
beneran,sungguhan
benr,benar
berfikir,berpikir
berhrap,berharap
bete,bosan total
betoel,betul
betulin,membetulkan
bg,bagian
bgian,bagian
bgini,begini
bgmn,bagaimana
bgs,bagus
bgst,bangsat
bgt,begitu
bgtu,begitu
bgus,bagus
bhs,bahasa
bhsa,bahasa
bhw,bahwa
bikinin,bikinkan
biosfir,biosfer
bis,bus
bju,baju
bk,buka
bka,buka
bkn,bukan
bkng,bokong
bkr,bakar
blan,bulan
blangko,blanko
bleh,boleh
blg,bilang
blh,boleh
bli,beli
bliau,beliau
blkg,belakang
blkng,belakang
blm,belum
bln,bulan
blom,belum
bls,balas
blum,belum
bnar,benar
bnda,benda
bner,benar
bnerz,benar
bnget,sangat
bngt,banget
bnr,benar
bntr,bentar
bnyak,banyak
bnyk,banyak
bobo,tidur
boboin,tidurkan
bodo,bodoh
bokap,ayah
boker,bab
bolehin,bolehkan
bonyok,memar
boong,bohong
boongnya,bohongnya
bosen,bosan
bosenan,mudah bosan
bosenin,bosan
bp,bapak
bpk,bapak
brandal,berandal
brangkas,brankas
brarti,berarti
brasa,berasa
brg,barang
brng,barang
brp,berapa
brpa,berapa
bru,baru
bs,bisa
bsa,bisa
bsar,besar
bsh,basah
bsk,besok
bsn,bosen
bsok,besok
bsr,besar
btol,botol
btw,ngomong-ngomong
buanget,sangat
buatin,buatkan
bubarin,bubarkan
budeg,budek
budhe,bude
budjet,bujet
bukak,buka
bukanny,bukannya
bukde,bude
bulet,bulat
buluk,kotor
bulutangkis,bulu tangkis
butu,butuh
bw,bawa
bwt,buat
byk,banyak
byr,bayar
cabe,cabai
cabut,pergi
cacimaki,caci maki
cakep,bagus
capcus,pergi
cape,capek
capek,capai
cayaank,sayang
cayang,sayang
cayank,sayang
cbt,cubit
ce,cewek
ceban,sepuluh ribu
celaloe,selalu
celalu,selalu
cemangat,semangat
cemen,penakut
cemingit,semangat
cemungut,semangat
cemungutt,semangat
cendikiawan,cendekiawan
cengkeh,cengkih
cengkram,cengkeram
cepek,lima puluh ribu
cepet,cepat
ceramahin,ceramahkan
cew,cewek
cewe,cewek
cewee,cewek
cewenya,ceweknya
choy,kalian
cian,kasihan
ciank,siang
ciapa,siapa
cidera,cedera
cinderamata / cenderamata,cendera mata
cingcong,ngomong
cini,sini
circus,sirkus
cius,terus
ckp,cukup
claloeh,selalu
clalu,selalu
clamanya,selamanya
clana,celana
client,klien
cm,cuma
cmn,cuman
cnth,contoh
cntik,cantik
cntk,cantik
co,contoh
cobain,coba
coklat,cokelat
cowo,cowok
coy,kalian
cp,siapa
cpt,cepat
cr,cara
critanya,ceritanya
cth,contoh
cuekin,cuek
cungkring,kurus
cuy,kalian
cw,cewek
da,ada
dah ,sudah
dapet,dapat
dapetin,dapat
daptar,daftar
dateng,datang
datengnya,datangnya
dduk,duduk
debitor,debitur
defiasi,deviasi
deket,dekat
deketin,mendekati
dekrit,dekret
demen,suka
denger,dengar
dengerin,mendengarkan
dengernya,dengarnya
depo,depot
dermawand,dermawan
designnya,desainnya
destilasi,distilasi
detil,detail
dftar,daftar
dg,dengan
dgn,dengan
dgr,dengar
dgrin,dengarkan
diagnosa,diagnosis
diampunin,diampuni
diapalin,dihapalkan
dibeliin,dibelikan
dibersihin,dibersihkan
diblkg,dibelakang
dibolehinnya,dibolehkannya
dibuatin,dibuatkan
dicengin,diangguri
didengerin,didengarkan
diem,diam
digabungin,digabungkan
digebug,dipukul
dihilangin,dihilangkan
dijadiin,dijadikan
dijulukin,dijuluki
dikantongin,dikantongkan
dikeatasin,dikeataskan
dikirimin,dikirimkan
dikit,sedikit
dimaklumin,dimaklumkan
dimanaa,dimana
dimatiin,dimatikan
dimudain,dimudahkan
dinyinyirin,diomongi
diolokin,dioloki
diomongin,diomongi
dipake,dipakai
dipinjemin,dipinjami
diputusin,diputusi
diracunin,diracuni
disbbkan,disebabkan
diselesein,diselesaikan
disimpen,disimpan
diskotik,diskotek
ditambahin,ditambahkan
dkat,dekat
dket,dekat
dkt,dekat
dlam,dalam
dll,dan lain lain
dlm,dalam
dlu,dulu
dn,dan
dng,dengan
dnger,dengar
dngerin,dengarkan
dngr,dengar
doang,hanya
doi,dia
dollar,dolar
dosn,dosen
dpan,depan
dpn,depan
dprd,daripada
dpt,dapat
dr,dari
drainage,drainase
dramatisir,dramatisasi
dri,dari
drpada,daipada
drpd,daripda
dsb,dan sebagainya
dsn,dusun
dsni,disini
dtg,datang
dtng,datang
duain,menduakan
dudukny,duduknya
duit,uang
dulu,dahulu
dulunya,dahulunya
duren,durian
efektip,efektif
eke,aku
ekstrimis,ekstremis
ektrim,ekstrem
ektstrovert,ekstrover
elit,elite
elo,kamu
elu ,kamu
emak,ibu
emg,emang
emng,emang
emoh,tidak mau
enag,enak
engga',tidak
ente,kamu
esei,esai
esok,besok
extra,ekstra
eyke,aku
faham,paham
faham,paham
faksimil,faksimile
fikir,pikir
fikir,pikir
formil,formal
fotosintesa,fotosintesis
frase,frasa
frekwensi,frekuensi
g,tidak
g7,begitu
ga,tidak
gaada,tidak ada
gaenak,tidak enak
gak,tidak
gan,juragan
gapapa,tidak apa-apa
gbungkn,gabungkan
gd,gede
gde,gede
ggu,ganggu
ghaib,gaib
giji,gizi
gilak,gila
gimana,bagaimana
gini,begini
gitchu,begitu
gk,tidak
gladi,geladi
gmn,gimana
gmna,gimana
gmpng,gampang
gn,guna
gnggu,ganggu
goa,gua
gpp,gak papa
greng,goreng
gria,griya
gt,gitu
gtu,gitu
gua,aku
gubug,gubuk
gudek,gudeg
guwe,gue
gw,gue
gwa,saya
gy,gaya
hadist,hadis
haha,tawa
hahaha,tawa
hakekat,hakikat
handal,andal
hapal,hafal
hapal,hafal
hapalin,hafalkan
hbgn,hubungan
hbis,habis
hbngn,hubungan
hbs,habis
hbt,hebat
hee,senyum
hehe,senyum
hehehe,senyum
hektar,hektare
hembus,embus
hey,hai
heyy,hai
hiks,sedih
himbau,imbau
hipotesa,hipotesis
hirarki,hierarki
hisap,isap
hoi,hai
hp,handphone
hr,hari
hrf,huruf
hrg,harga
hri,hari
hrp,harap
hrs,harus
hrus,harus
hsil,hasil
hsl,hasil
ht2,hati-hati
hti,hati
hub,hubungan
hutang,utang
igtkn,ingatkan
ihlas,ikhlas
ijasah,ijazah
ijin,izin
indra,indera
influensa,influenza
infra merah,inframerah
inpus,infus
insyaf,insaf
inteligen,intelijen
inten,intens
intermezo,itermeso
interprestasi,interpretasi
intrupsi,interupsi
islam,Islam
islamiyah,islamiah
isteri,istri
isteri,istri
istighfar,istigfar
istirht,istirahat
jadual,jadwal
jagad,jagat
jakt,jakarta
jamaah,jemaah
jaman,zaman
jd,jadi
jdi,jadi
jenasah,jenazah
jendral,jenderal
jg,juga
jgan,jangan
jgn,jangan
jinah,zina
jl,jalan
jlan,jalan
jlek,jelek
jln,jalan
jml,jumlah
jmlh,jumlah
jmt,jumat
jngn,jangan
jrg,jarang
jrng,jarang
ju2r,jujur
jubir,juru bicara
judikatif,yudikatif
judisial,yudisial
jur,jurusan
jurisdiksi,yurisdiksi
jursn,jurusan
justeru,justru
jwb,jawab
jwbnya,jawabnya
kaco,kacau
kadaluwarsa,kedaluwarsa
kaedah,kaidah
kangker,kanker
karir,karier
karisma,karismatik
karna,karena
karna,karena
kasian,kasihan
katalisa,katalisis
katrok,udik
kawan2,teman-teman
kcewa,kecewa
kcl,kecil
kdg,kadang
kdng,kadang
kedelei,kedelai
keloter,kloter
kendor,kendur
kesian,kasihan
ketidurn,ketiduran
kga,kagak
kgk,kagak
kharisma,karisma
kharisma,karisma
kharismatik,karismatik
khutbah,khotbah
kl,kalau
klakuan,kelakuan
klau,kalau
klmpok,kelompok
klo,kalau
kluarkn,keluarkan
klw,kalau
km,kamu
kmana,kemana
kmarin,kemarin
kmnangan,kemenangan
kmpung,kampung
kmren,kemaren
kmrn,kemarin
kmu,kamu
knp,kenapa
koboy,koboi
komersil,komersial
komfirmasi,konfirmasi
komplek,kompleks
komplit,komplet
kongkrit,kongkret
konkrit,konkret
konsekwensi,konsekuensi
konsleting,korsleting
kopel,berpasangan
kosa kata,kosakata
kple,kembaran
kpn,kapan
kpolisian,kepolisian
krea,korea
kreatifitas,kreativitas
kreatip,kreatif
krg,kurang
krg ,kurang
krja,kerja
krm,kirim
krn,karena
krna,karena
krng,kurang
krny,karenanya
ksl,kesel
ktawa,ketawa
ktny,katanya
ktnya,katanya
kturunan,keturunan
kul,kuliah
kulyh,kuliah
kwalitas,kualitas
kwarsa,kuarsa
kwitansi,kuitansi
kwn,kawan
kworum,kuorum
ky,kayak
kyk,kayak
kykny,kayaknya
kzl,kesel
lapal,lafal
laper,lapar
lbh,lebih
lbih,lebih
legalisir,legalisasi
lekong,banci
lembab,lembap
lembiru,lempar ganti baru
lg,lagi
lgi,lagi
lgsg,langsung
lgsung,langsung
lgu,lagu
lht,lihat
lk,laki
lo,kamu
lobang,lubang
lol,tawa
lom,belum
lp,lupa
lpa,lupa
lpr,lapor
lt,lantai
lu,kamu
lum ,belum
maap,maaf
maba,mahasiswa baru
mager,malas
makacih,terima kasih
makasi,terima kasih
makasih,terima kasih
maks,maksimal
males,malas
malming,malam minggu
managemen,manajemen
manager,manajer
mangkok,mangkuk
mantera,mantra
mav,maaf
mcem,macam
mcerna,mencerna
mcm,macam
mdh,mudah
mempengaruhi,memengaruhi
mengkonsumsi,mengonsumsi
mentri,menteri
menyolok,mencolok
merubah,mengubah
mesjid,masjid
met,selamat
metoda,metode
mf,maaf
mg,moga
mggu,minggu
mgk,mungkin
mgkn,mungkin
mgnggu,mengganggu
mgu,minggu
mhs,mahasiswa
mhsw,mahasiswa
milyar,miliar
mka,muka
mkn,makan
mkny,makanya
mks,maksimal
mksd,maksud
mksh,makasih
mksudku,maksudku
mlekat,melekat
mlh,malah
mlm,malam
mls,malas
mlu,malu
mmang,memang
mmg,memang
mmpelajari,memperlajari
mmpu,mampu
mn,mana
mna,mana
mnang,menang
mngena,mengena
mngkn,mungkin
mngrti,mengerti
mngusap,mengusap
mnrt,menurut
mnurut,menurut
mo,mau
motip,motif
mreka,mereka
mrh,marah
